link,artist,artist_country,keywords,subject,styles,mediums,materials,list_price,category,height,width,depth
/art/Painting-Uncanny-I/155384/2488851/view,Yiota Kotika,Greece,"sad, tears, no, eyes, face, lips",Portrait,"Fine Art, Photorealism, Realism","Acrylic, pencils",Canvas,$445.00,Painting,11.8  H, 9.4  W, 1.6 
/art/Painting-Bipolar/311546/2121764/view,Michael Hayter,United Kingdom,"surreal, mental health, colour, fantasy, figures, landscape, madness",Body,"Figurative, Expressionism, Fine Art","Oil, Ink, Acrylic, Saliva, Urine","Canvas, Wood",$3350.00,Painting,71.7  H, 70.9  W, 2 
/art/Painting-Ultramarine-Traces/486818/3107589/view,Aleksandra Toborowicz,Poland,"bird, blue, traces, ultramarine, white, abstract, abstraction, horizontal, ykblue",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Modern","Acrylic, Watercolor",Paper,$5410.00,Painting,27.6  H, 39.4  W, 0 
/art/Painting-Shaolin/993012/3671205/view,Aibek Begalin,United States,"shaolin, realism, fine art, oil painting, oil on canvas, Original Painting, china, handmade painting, one of a kind art, martial arts, realistic landscape, landscape",Landscape,"Figurative, Fine Art, Photorealism, Realism, Impressionism",Oil,Canvas,$1920.00,Painting,30  H, 40  W, 0.7 
/art/Painting-Symbiosis-II/350258/3512342/view,Joanna Ml*cka,Poland,"red, square, composition, floral, forest, green, nature",Floral,"Abstract, Fine Art, Realism, Surrealism, Figurative",Oil,Canvas,$760.00,Painting,15.7  H, 15.7  W, 1 
/art/Painting-Jungle-of-Dodo-I/742458/3287361/view,Sunwoo Kim,South Korea,"painting, bird, aritst, dodo, forest, sunwookim, green, jungle",Animal,"Fine Art, Illustration, Pop Art",Gouache,Canvas,$2150.00,Painting,39.4  H, 31.7  W, 1 
/art/Painting-Love-plants/944194/3369245/view,Bane Milenkovi*,Croatia,"plants, table, oil on canvas, green, orange",Botanic,Fine Art,Oil,Canvas,$8600.00,Painting,63  H, 73  W, 0.1 
/art/Painting-Couple-la-mer-couple-near-the-sea/980860/3532375/view,Mireille Rolland,France,"poetic, romantic, sensual, subtle, voluptuous, mysterious",Nude,"Figurative, Fine Art, Modern",Oil,Canvas,$3710.00,Painting,39.4  H, 31.9  W, 0.8 
/art/Painting-The-girl/859116/3682798/view,Marcin Andrzej Telega,Poland,"sadness, black,  girl,  woman, nokturn",People,Fine Art,Oil,Canvas,$1990.00,Painting,27.6  H, 19.7  W, 1 
/art/Painting-Commuters-1/76846/3062067/view,Georgia Peskett,United Kingdom,"silk, travel, underground, colour, commuters, contemporary, figurative, oil",Travel,"Figurative, Realism, Impressionism, Fine Art","Oil, wax, brush, colour, silk","Canvas, Wood",$1560.00,Painting,20  H, 20  W, 1.5 
/art/Painting-DJ-Jazzy-Geoff/883813/2978737/view,Spencer Rogers,United States,"black, blue, waterfall, white, layers",Abstract,"Abstract, Expressionism, Fine Art",Oil,Canvas,$330.00,Painting,12  H, 12  W, 1.5 
/art/Painting-sleeping-man/21327/2307619/view,Evi Panagiotakis,,"beach, sea, sleep, body, summer, sun, light, man",Body,"Fine Art, Figurative, Expressionism",Acrylic,Canvas,$3910.00,Painting,39.4  H, 59.1  W, 1.6 
/art/Painting-toby-s-cup/741158/2823418/view,will harmuth,United States,"summer, vintage, hotdogs, 1950, aqua",Popular culture,"Street Art, Fine Art, Modern, Documentary, Folk",Acrylic,Other,$2520.00,Painting,36  H, 36  W, 0.3 
