IDREF,Year_Reference,languages_Chinese,languages_English,languages_French,languages_Hindi,languages_Spanish,skill_SocialSciences,skill_Art,skill_Technology,missing_language,missing_skill,grade,exam_score,ProfileType,school,major,citizen_cntry,previous_degree,ethnicity,previous_state,male_gender,international,year_birth
1,2011,0,1,0,0,0,0,0,0,0,0,3.7850001,720,Unknown,NEWYORKUNIVERSITY,Finance,USA,BachelorofScience,WhiteNon-hispanic,Connecticut,1,0,1977
2,2011,0,0,0,0,0,0,0,0,1,1,3.4260001,700,Client_oriented,NEWYORKUNIVERSITY,IndustrialRelations,USA,BachelorofArts,WhiteNon-hispanic,NewJersey,0,0,1982
3,2013,0,0,0,0,0,0,0,0,1,1,3.0669999,530,Unknown,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,BlackNon-hispanic,NewYork,0,0,1982
4,2014,0,0,0,0,0,0,0,0,1,1,3.438,700,Production,NEWYORKUNIVERSITY,PoliticalScience,USA,BachelorofArts,WhiteNon-hispanic,NewYork,0,0,1981
5,2011,0,0,0,0,0,0,0,0,1,1,3.207,690,Investments,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,Amer.IndianorAlaskan,NewJersey,1,0,1982
6,2011,0,0,0,0,0,0,0,0,1,1,3.1819999,630,Client_oriented,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,BlackNon-hispanic,NewJersey,0,0,1983
7,2012,0,0,0,0,0,0,0,0,1,1,3.576,710,Investments,NEWYORKUNIVERSITY,OtherHumanities,USA,BachelorofArts,Amer.IndianorAlaskan,NewYork,0,0,1980
8,2011,0,0,0,0,0,0,0,0,1,1,3.665,760,Investments,NEWYORKUNIVERSITY,Other,USA,BachelorofArts,WhiteNon-hispanic,Florida,1,0,1981
9,2011,0,0,0,0,0,0,0,0,1,1,3.3099999,680,Client_oriented,NEWYORKUNIVERSITY,Finance,USA,BachelorofScience,HispanicWhite,Georgia,0,0,1983
10,2011,0,1,0,0,0,0,0,0,0,0,3.3499999,720,Others,NEWYORKUNIVERSITY,CommunicationAndJournalism,USA,BachelorofScience,WhiteNon-hispanic,NewYork,0,0,1981
11,2012,0,0,0,0,0,0,0,0,1,1,3.5699999,650,Unknown,NEWYORKUNIVERSITY,FineArts,USA,BachelorofFineArts,,NewYork,0,0,1981
12,2013,0,0,0,0,0,0,0,0,1,1,3.1500001,690,Investments,SANTACLARAUNIVERSITY,Finance,USA,BachelorofScience,Amer.IndianorAlaskan,California,1,0,1982
13,2011,0,0,0,0,0,0,0,0,1,1,3.142,760,Client_oriented,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,WhiteNon-hispanic,NewYork,0,0,1981
14,2014,0,0,0,0,0,0,0,0,1,1,3.4219999,630,Investments,NEWYORKUNIVERSITY,Other,USA,BachelorofFineArts,WhiteNon-hispanic,NewYork,0,0,1984
15,2011,0,0,0,0,0,0,0,0,1,1,3.5780001,730,Client_oriented,NEWYORKUNIVERSITY,Economics,USA,BachelorofScience,WhiteNon-hispanic,NewYork,0,0,1984
16,2014,0,0,0,0,0,0,0,0,1,1,3.47,730,Investments,NEWYORKUNIVERSITY,Finance,USA,BachelorofScience,AsianorPacificIslander,NewYork,1,0,1984
17,2012,0,0,0,0,0,0,0,0,1,1,3.642,740,Investments,NEWYORKUNIVERSITY,Finance,USA,BachelorofScience,WhiteNon-hispanic,NewYork,0,0,1984
18,2012,0,0,0,0,0,0,0,0,1,1,3.5669999,770,Others,NEWYORKUNIVERSITY,CommunicationAndJournalism,USA,BachelorofArts,,NewYork,0,0,1984
19,2013,0,0,0,0,0,0,0,0,1,1,3.277,730,Production,NEWYORKUNIVERSITY,CommunicationAndJournalism,USA,BachelorofArts,AsianorPacificIsl,NewJersey,0,0,1984
20,2012,0,0,0,0,0,0,0,0,1,1,3.5669999,680,Unknown,NEWYORKUNIVERSITY,Music,USA,,WhiteNon-hispanic,NewYork,1,0,1984
21,2012,0,0,0,0,0,0,0,0,1,1,3.5350001,660,Others,NEWYORKUNIVERSITY,CommunicationAndJournalism,USA,BachelorofArts,WhiteNon-hispanic,Florida,1,0,1984
22,2011,0,0,0,0,0,0,0,0,1,1,3.665,760,Client_oriented,BARNARDCOLLEGE,PoliticalScience,USA,BachelorofArts,WhiteNon-hispanic,NewYork,0,0,1980
23,2014,0,0,0,0,0,0,0,0,1,1,3.52,700,Investments,NEWYORKUNIVERSITY,ActuarialScience,USA,BachelorofScience,AsianorPacificIslander,Georgia,1,0,1985
24,2014,0,0,0,0,0,0,0,0,1,1,3.3699999,750,Unknown,NEWYORKUNIVERSITY,OtherBusiness,USA,BachelorofScience,WhiteNon-hispanic,NewYork,1,0,1985
25,2013,0,0,0,0,0,0,0,0,1,1,3.217,760,Others,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,HispanicWhite,ForeignCountry,1,0,1984
26,2012,1,0,0,0,0,0,0,0,0,0,3.527,680,Unknown,NEWYORKUNIVERSITY,Finance,USA,BachelorofScience,AsianorPacificIsl,ForeignCountry,0,0,1985
27,2012,0,0,0,0,0,0,0,0,1,1,3.3410001,700,Others,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1983
28,2011,0,0,0,0,0,0,0,0,1,1,3.158,700,Others,VASSARCOLLEGE,English,Romania,BachelorofArts,WhiteNon-hispanic,NewYork,0,1,1981
29,2015,0,0,0,0,0,0,0,0,1,1,3.5371428,0,Others,NEWYORKUNIVERSITY,OtherHumanities,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1985
30,2013,0,0,0,0,0,0,0,0,1,1,3.112,700,Investments,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1985
31,2015,0,0,0,0,0,0,0,0,1,1,3.425,740,Unknown,SARDARPATELCOLLEGEOFENGINE,Engineering,USA,BachelorofEngineering/ExecProgram,AsianorPacificIslander,NewJersey,1,0,1983
32,2011,0,1,0,0,0,0,1,0,0,0,3.5699999,670,Others,EMORYUNIVERSITY,Psychology,USA,BachelorofArts,WhiteNon-hispanic,California,1,0,1982
33,2011,0,1,0,0,1,1,0,0,0,1,3.836,720,Investments,NEWYORKUNIVERSITY,Law,Germany,,,NewYork,1,1,1984
34,2011,0,0,0,0,0,0,0,0,1,1,3.1700001,730,Others,UNIVILLINOISURBANA,CommunicationAndJournalism,USA,BachelorofScience,Amer.IndianorAlaskan,NewYork,0,0,1980
35,2013,0,0,0,0,0,0,0,0,1,1,3.293,680,Others,NEWYORKUNIVERSITY,OtherBusiness,USA,BachelorofArts,AsianorPacificIslander,Vermont,0,0,1987
36,2012,0,0,0,0,0,0,0,0,1,1,3.3,730,Others,BROWNUNIVERSITY,Music,USA,BachelorofArts,,NewYork,1,0,1980
37,2015,0,0,0,0,0,0,0,0,1,1,3.6675,730,Investments,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1986
38,2013,0,0,0,0,0,0,0,0,1,1,3.7219999,740,Others,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1986
39,2013,0,0,0,0,0,0,0,0,1,1,3.2449999,640,Unknown,EMORYUNIVERSITY,Marketing,USA,BachelorofBusinessAdministration,BlackNon-hispanic,NewYork,0,0,1982
40,2014,0,0,0,0,0,0,0,0,1,1,3.8699999,770,Unknown,UNIVERSITYALABAMA,Accounting,USA,BachelorofScience,WhiteNon-hispanic,Alabama,1,0,1984
41,2011,0,0,0,0,0,0,0,0,1,0,3.118,740,Others,VANDERBILTUNIVERSITY,Other,USA,BachelorofScience,WhiteNon-hispanic,Massachusetts,1,0,1977
42,2012,0,0,0,0,0,0,0,0,1,1,,,Unknown,,,,,AsianorPacificIslander,,1,1,
43,2011,0,0,0,0,0,0,0,0,1,1,3.632,770,Client_oriented,UNIVERSITYPENNSYLVANIA,Philosophy,USA,BachelorofArts,,NewYork,1,0,1983
44,2011,0,0,0,0,0,0,0,0,1,1,3.2290001,740,Unknown,DUKEUNIVERSITY,History,USA,BachelorofArts,WhiteNon-hispanic,NorthCarolina,1,0,1984
45,2011,0,0,1,0,0,0,0,0,0,1,3.582,0,Client_oriented,GEORGETOWNUNIV,Economics,USA,BachelorofScience,WhiteNon-hispanic,NewYork,0,0,1983
46,2011,0,0,0,0,0,0,0,0,1,1,3.418,710,Others,NORTHWESTERNUNIVERSITY,CommunicationAndJournalism,USA,BachelorofScience,,NewYork,1,0,1981
